token,chain,contract,eventId,eventDate,window,date,label,return_1d,return_3d,return_7d,return_14d,return_30d,relative_return_vs_btc_7d,relative_return_vs_eth_7d,distance_to_30d_high,distance_to_60d_high,volatility_7d,volatility_30d,volatility_compression_score,atr_14,volume_1d,volume_7d_avg,volume_30d_avg,volume_zscore_7d,volume_zscore_30d,rsi_14,data_quality_score
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T-30,2025-12-02,pre_breakout,0.05636649449809113,0.023276049597563627,0.0525844707988365,0.004698846646732157,-0.18091589761448715,-0.009680808336447744,-0.0016201534509782123,-0.2322506936510527,-0.542501458860144,0.1903359719420764,0.3029112100330644,0.37164434448860384,4.167416573487894e-7,4117575274873,3015239237114,3947857900553.9033,-0.5825851223556451,0.10601848446703438,44.98611360233418,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T-14,2025-12-18,pre_breakout,0.005529027393817531,-0.021760391198043884,-0.07255447380621219,-0.11541012602255128,-0.1454506621102093,-0.050501225802512,-0.03782234781067959,-0.1864579097193981,-0.4540120087336244,0.055398172635576066,0.2967693791295921,0.8133292161136847,3.651758181325863e-7,5106342029564,3171221869311,3576235861833.645,-0.2845110175884574,1.0748568465199337,36.95787866338376,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T-7,2025-12-25,pre_breakout,-0.006237524950099951,0.0147770700636943,-0.004498875281179831,-0.07672693555864625,-0.1087491608861043,0.004811260590640599,0.009385188067389194,-0.19011793411956088,-0.4475728155339806,0.04865806471861123,0.253426753358525,0.8079994946319884,2.940121793226937e-7,2276226723854,2532238769972.875,2987871298515.6772,-0.4824986850332184,-0.7536063603348004,39.216490033224304,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T-3,2025-12-29,pre_breakout,0.018794239687576344,0.02178702570379445,0.06343949044586,0.02053789731051354,-0.09201653252120949,0.04559854145969836,0.04261277324051238,-0.15128100854005694,-0.37589712918660284,0.04773978763993775,0.24942691476718398,0.8086021002003804,2.6896321464065645e-7,2185453203844,1913353718385.375,2860236233606.4194,-0.9186402251803134,-0.6546565433876398,46.941303001319625,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T+0,2026-01-01,breakout,0.3033575956797369,0.3298993770963104,0.39367311072056244,0.3874031492126967,0.18005952380952372,0.3675998255095777,0.33793302814519605,0,-0.09401011914476907,0.2424965106221276,0.3188975595018971,0.23957865654131782,3.640594688649862e-7,15402733610142,3572803548881.25,3191157203198.161,0.15562084283851696,4.9794157191107535,73.61059594357955,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T+3,2026-01-04,post_breakout,-0.027785734746491,0.2228427310394524,0.6568220649255553,0.6756356455196249,0.5395781356316627,0.5853129307010947,0.5682293027716419,-0.027785734746491,-0.027785734746491,0.2519178355969889,0.3380498572171452,0.25479088300525354,4.6533004850450967e-7,10154766783377,7347262610302.75,4008275605208.4517,0.9390116451987677,1.7285562311581266,78.96918281338077,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T+7,2026-01-08,post_breakout,-0.013650232856913446,-0.08053892215568871,0.10646730318861465,0.5420537283454683,0.3098741735977819,0.0866386467593163,0.09799124416724958,-0.12030936694356924,-0.12030936694356924,0.17264048915067112,0.3372612502019776,0.4881105106285383,5.019854361551775e-7,4891521395519,9660788840477.875,4445486734487.613,1.4280225682654364,0.12213052077076234,65.06942828229177,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T+14,2026-01-15,post_breakout,-0.032046979865771735,-0.04185351270553055,-0.060729404102898024,0.03927220320662949,0.43080357142857156,-0.09807590935218007,-0.10956795831976557,-0.1737324548839874,-0.1737324548839874,0.10931721401698807,0.3414991146239772,0.6798901978491023,4.926190579466515e-7,2745081058876,4712024393220.625,4786550921757.839,-0.019966431419387715,-0.5469309897028635,53.9923706160016,0.4
PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,event_2026-01-01,2026-01-01,T+30,2026-01-31,post_breakout,-0.013908533710514055,-0.10638752403332626,-0.14510525240138988,-0.2652380115931847,-0.24644208250765634,-0.022386751359630058,0.06367863526324394,-0.40088799770839306,-0.40088799770839306,0.08765802904734205,0.25981082429662666,0.6626082485798872,4.266653903547833e-7,5333559591916,3026593915778.125,5183726363991.6455,-0.6077168365036019,0.042211675668187246,30.53132393779113,0.4
WIF,Solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,event_2026-01-04,2026-01-04,T-30,2025-12-05,pre_breakout,-0.009798728813559272,-0.044467160746230444,-0.0047910566941707965,0.15401234567901234,-0.1087008343265792,0.009611367867695127,-0.016159189347876527,-0.2360032693093584,-0.5007344104686874,0.21044322175247804,0.3564578433075486,0.40962662007998085,0.04214521089603963,8577959.196,10316381.33825,13730855.800903223,-0.4281484863496507,-0.6461330743095479,44.38827306370758,0.4
