token,sample_group,window_type,matched_p0,segment,segment_start,segment_end,sort_dir,pages_fetched,rows_fetched,unique_tx_hashes,min_timestamp,max_timestamp,covers_segment_start,covers_segment_end,entity_coverage,usd_coverage,pagination_truncated,cache_hits,status,limitations
LAB,P0,P0_EVENT,LAB,SEG_A,2026-03-24,2026-04-08,asc+desc,6,464,464,2026-03-24T00:00:05Z,2026-04-08T23:59:59Z,true,true,99.8%,100.0%,false,0,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_B,2026-04-09,2026-04-15,asc+desc,6,495,495,2026-04-09T00:00:02Z,2026-04-15T23:59:57Z,true,true,98.2%,100.0%,false,0,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_C,2026-04-16,2026-04-22,asc+desc,6,517,517,2026-04-16T00:00:03Z,2026-04-22T23:59:00Z,true,true,96.1%,100.0%,false,0,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_D,2026-04-23,2026-04-26,asc+desc,6,527,527,2026-04-23T00:00:04Z,2026-04-26T23:59:59Z,true,true,96.2%,100.0%,false,0,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_E,2026-04-29,2026-05-05,asc+desc,6,480,480,2026-04-29T00:00:06Z,2026-05-05T06:14:10Z,true,true,95.0%,100.0%,false,0,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
UB,P0,P0_EVENT,UB,SEG_A,2026-03-26,2026-04-10,asc+desc,6,451,451,2026-03-26T00:00:05Z,2026-04-10T23:59:04Z,true,true,99.8%,100.0%,false,0,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_B,2026-04-11,2026-04-17,asc+desc,6,583,583,2026-04-11T00:00:06Z,2026-04-17T23:59:59Z,true,true,99.7%,100.0%,false,0,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_C,2026-04-18,2026-04-24,asc+desc,6,569,569,2026-04-18T00:00:03Z,2026-04-24T23:59:59Z,true,true,98.6%,100.0%,false,0,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_D,2026-04-25,2026-04-28,asc+desc,6,530,530,2026-04-25T00:00:17Z,2026-04-28T23:59:55Z,true,true,95.3%,100.0%,false,0,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_E,2026-04-29,2026-05-05,asc+desc,6,551,551,2026-04-29T00:00:01Z,2026-05-05T06:14:10Z,true,true,97.3%,100.0%,false,0,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_F,2026-05-06,2026-05-09,asc+desc,0,0,0,,,false,false,0%,0%,false,0,SEGMENT_EMPTY,
BSB,P0,P0_EVENT,BSB,SEG_A,2026-03-26,2026-04-10,asc+desc,6,491,491,2026-03-26T00:19:11Z,2026-04-10T23:43:59Z,true,true,31.2%,100.0%,false,0,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_B,2026-04-11,2026-04-17,asc+desc,6,450,450,2026-04-11T00:30:11Z,2026-04-17T23:57:47Z,true,true,55.6%,100.0%,false,0,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_C,2026-04-18,2026-04-24,asc+desc,6,476,476,2026-04-18T00:02:11Z,2026-04-24T23:59:11Z,true,true,50.2%,100.0%,false,0,SEGMENT_READY,
