token,sample_group,chain,contract,pricing_id,window_start,window_end,variant_id,query_params,time_unit,token_identifier_type,status,rows_returned,first_token_symbol,has_from_entity,has_to_entity,has_historical_usd,parser_ready,diagnosis,limitations
PEPE,CONTROL,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,pepe,2026-03-24,2026-04-08,contract_sec,chains=ethereum&tokens=0x6982508145454ce325ddbe47a25d4ec3d2311933&timeGte=177431,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PEPE,CONTROL,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,pepe,2026-03-24,2026-04-08,pricing_id_sec,tokens=pepe&timeGte=1774310400&timeLte=1775606400&sortKey=time&sortDir=asc&limit,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PEPE,CONTROL,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,pepe,2026-04-25,2026-05-05,contract_sec,chains=ethereum&tokens=0x6982508145454ce325ddbe47a25d4ec3d2311933&timeGte=177707,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PEPE,CONTROL,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,pepe,2026-04-25,2026-05-05,pricing_id_sec,tokens=pepe&timeGte=1777075200&timeLte=1777939200&sortKey=time&sortDir=asc&limit,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
FLOKI,CONTROL,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,floki,2026-03-24,2026-04-08,contract_sec,chains=ethereum&tokens=0xcf0c122c6b73ff809c693db761e7baebe62b6a2e&timeGte=177431,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
FLOKI,CONTROL,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,floki,2026-03-24,2026-04-08,pricing_id_sec,tokens=floki&timeGte=1774310400&timeLte=1775606400&sortKey=time&sortDir=asc&limi,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
FLOKI,CONTROL,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,floki,2026-04-25,2026-05-05,contract_sec,chains=ethereum&tokens=0xcf0c122c6b73ff809c693db761e7baebe62b6a2e&timeGte=177707,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
FLOKI,CONTROL,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,floki,2026-04-25,2026-05-05,pricing_id_sec,tokens=floki&timeGte=1777075200&timeLte=1777939200&sortKey=time&sortDir=asc&limi,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PENDLE,P2,ethereum,0x808507121b80c02388fad14726482e061b8da827,pendle,2026-03-24,2026-04-08,contract_sec,chains=ethereum&tokens=0x808507121b80c02388fad14726482e061b8da827&timeGte=177431,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PENDLE,P2,ethereum,0x808507121b80c02388fad14726482e061b8da827,pendle,2026-03-24,2026-04-08,pricing_id_sec,tokens=pendle&timeGte=1774310400&timeLte=1775606400&sortKey=time&sortDir=asc&lim,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PENDLE,P2,ethereum,0x808507121b80c02388fad14726482e061b8da827,pendle,2026-04-25,2026-05-05,contract_sec,chains=ethereum&tokens=0x808507121b80c02388fad14726482e061b8da827&timeGte=177707,seconds,contract,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
PENDLE,P2,ethereum,0x808507121b80c02388fad14726482e061b8da827,pendle,2026-04-25,2026-05-05,pricing_id_sec,tokens=pendle&timeGte=1777075200&timeLte=1777939200&sortKey=time&sortDir=asc&lim,seconds,pricing_id,ARKHAM_DAILY_LIMIT,0,,false,false,false,false,TRUE_EMPTY_WINDOW,
