token,sample_group,chain,contract_or_pricing_id,holders_returned,labeled_holder_count,labeled_holder_ratio,unknown_holder_count,unknown_holder_ratio,cex_holder_count,cex_holder_ratio,dex_holder_count,fund_holder_count,market_maker_proxy_holder_count,top1_holder_share,top5_holder_share,top10_holder_share,top_entity_holder_share,holder_entity_concentration,holder_entity_coverage,arkham_holder_readiness
LAB,P0,bsc,bsc/0x7ec43Cf65F1663F820427C62A5780b8f2E25593A,20,10,0.5,10,0.5,8,0.4,0,1,0,0.262819645391475,0.858819655391475,0.9811910651954913,0.30602425519904314,0.613,0.5,ARKHAM_HOLDER_ENTITY_READY
UB,P0,bsc,bsc/0x40b8129b786d766267a7a118cf8c07e31cdb6fde,20,7,0.35,13,0.65,5,0.25,1,0,0,0.057100613861674324,0.12689846634446592,0.1537530543951614,0.44997087440501204,0.101,0.35,ARKHAM_HOLDER_ENTITY_READY
BSB,P0,ethereum,ethereum/0xDB6Ba5D510F114F9b2eA08BEa7d30e32eEe33411,20,5,0.25,15,0.75,4,0.2,0,0,0,0.7848,0.9113782716790948,0.9674090327803725,0.8611133536836566,0.862,0.25,ARKHAM_HOLDER_ENTITY_PARTIAL
AI,P0,ethereum,gensyn,20,10,0.5,10,0.5,4,0.2,2,2,0,0.0126323345,0.026414616748130785,0.03229847255456762,0.4782327383528637,0.023,0.5,ARKHAM_HOLDER_ENTITY_READY
PEPE,CONTROL,ethereum,ethereum/0x6982508145454ce325ddbe47a25d4ec3d2311933,20,19,0.95,1,0.05,19,0.95,0,0,0,0.13339133419173038,0.30764401894154914,0.39259202471344923,0.43358988304295326,0.239,0.95,ARKHAM_HOLDER_ENTITY_READY
WIF,CONTROL,solana,solana/EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,20,18,0.9,2,0.1,17,0.85,1,0,0,0.11605603505364587,0.35474740221281087,0.43874927213952813,0.32715119076199617,0.288,0.9,ARKHAM_HOLDER_ENTITY_READY
BONK,CONTROL,solana,solana/DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,20,11,0.55,9,0.45,8,0.4,0,0,0,0.07951232372514112,0.25872020112258576,0.40874766497345794,0.30732939824620387,0.183,0.55,ARKHAM_HOLDER_ENTITY_READY
FLOKI,CONTROL,ethereum,ethereum/0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,20,18,0.9,2,0.1,14,0.7,1,0,0,0.1018492244460474,0.20207984173949067,0.2640048561662767,0.5040048703984308,0.164,0.9,ARKHAM_HOLDER_ENTITY_READY
PENDLE,P2,ethereum,ethereum/0x808507121b80c02388fad14726482e061b8da827,20,15,0.75,5,0.25,7,0.35,0,2,0,0.23100463558460588,0.5952382051464687,0.7234442253474539,0.38808771612326726,0.447,0.75,ARKHAM_HOLDER_ENTITY_READY
ONDO,P2,ethereum,ethereum/0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,20,18,0.9,2,0.1,14,0.7,0,2,0,0.5779207574155645,0.6878740554329674,0.7228719583215859,0.8401548987798424,0.66,0.9,ARKHAM_HOLDER_ENTITY_READY
TROLL,P1,ethereum,troll-2,20,6,0.3,14,0.7,4,0.2,0,0,0,0.08082519214367273,0.1968964830954224,0.2699879967421964,0.41049586499979396,0.145,0.3,ARKHAM_HOLDER_ENTITY_READY
SIREN,P1,ethereum,siren-2,20,1,0.05,19,0.95,0,0,0,0,0,0.09884759530024048,0.23942731892869581,0.3200882449823704,0.41285011143477085,0.191,0.05,ARKHAM_HOLDER_ENTITY_EMPTY
