token,sample_group,segment,segment_start,segment_end,unique_transfer_count,transfer_volume_usd,labeled_transfer_ratio,unknown_transfer_ratio,cex_proxy_transfer_count,cex_proxy_transfer_volume_usd,cex_proxy_netflow_usd,to_cex_proxy_volume_usd,from_cex_proxy_volume_usd,dex_proxy_transfer_count,dex_proxy_transfer_volume_usd,fund_or_institution_transfer_volume_usd,market_maker_proxy_transfer_volume_usd,top_entity_transfer_share,entity_transfer_concentration,segment_readiness,limitations
LAB,P0,SEG_A,2026-03-24,2026-04-08,464,70976.91,0.998,0.002,20,5574.50,2923.28,4248.89,1325.61,442,65168.36,0.00,0.00,0.912,0.8368,SEGMENT_READY,
LAB,P0,SEG_B,2026-04-09,2026-04-15,495,105872.05,0.982,0.018,32,3999.97,1505.70,2752.83,1247.14,454,98708.18,0.00,0.00,0.960,0.9217,SEGMENT_READY,
LAB,P0,SEG_C,2026-04-16,2026-04-22,517,174788.74,0.961,0.039,34,8285.80,2466.96,5376.38,2909.42,462,155385.64,0.00,0.00,0.948,0.9017,SEGMENT_READY,
LAB,P0,SEG_D,2026-04-23,2026-04-26,527,248376.78,0.962,0.038,18,6262.10,2509.05,4385.57,1876.52,489,226322.55,0.00,0.00,0.964,0.9290,SEGMENT_READY,
LAB,P0,SEG_E,2026-04-11,2026-04-17,519,162957.76,0.992,0.008,66,28504.00,11740.91,20122.46,8381.55,449,105120.69,0.00,0.00,0.798,0.6561,SEGMENT_READY,
LAB,P0,SEG_F,2026-04-18,2026-04-21,515,169201.03,0.986,0.014,68,22892.15,2496.71,12694.43,10197.72,440,143564.95,0.00,0.00,0.870,0.7729,SEGMENT_READY,
UB,P0,SEG_A,2026-03-26,2026-04-10,451,140955.61,0.998,0.002,12,1740.86,1728.27,1734.56,6.30,438,138983.26,0.00,0.00,0.980,0.9613,SEGMENT_READY,
UB,P0,SEG_B,2026-04-11,2026-04-17,579,159003.58,0.997,0.003,5,945.48,742.40,843.94,101.54,572,157303.92,0.00,0.00,0.993,0.9857,SEGMENT_READY,
UB,P0,SEG_C,2026-04-18,2026-04-24,569,194853.05,0.986,0.014,6,36055.18,21638.90,28847.04,7208.14,555,157388.61,0.00,0.00,0.813,0.6843,SEGMENT_READY,
UB,P0,SEG_D,2026-04-25,2026-04-28,530,159828.51,0.953,0.047,10,20851.66,18286.48,19569.07,1282.59,494,135916.86,0.00,0.00,0.802,0.6670,SEGMENT_READY,
UB,P0,SEG_E,2026-04-15,2026-04-21,521,175725.62,0.935,0.065,12,1221.02,756.24,988.63,232.39,475,170690.57,0.00,0.00,0.992,0.9836,SEGMENT_READY,
UB,P0,SEG_F,2026-04-22,2026-04-25,522,334818.77,0.943,0.057,3,181356.85,180984.89,181170.87,185.98,489,148417.61,0.00,0.00,0.708,0.5858,SEGMENT_READY,
BSB,P0,SEG_A,2026-03-26,2026-04-10,491,76963.53,0.312,0.688,29,23910.92,1542.81,12726.86,11184.06,63,10321.86,0.00,0.00,0.390,0.2590,SEGMENT_READY,
BSB,P0,SEG_B,2026-04-11,2026-04-17,450,21900798.89,0.556,0.444,43,82256.32,-3626.89,39314.72,42941.60,92,4205.14,0.00,0.00,0.332,0.2504,SEGMENT_READY,
BSB,P0,SEG_C,2026-04-18,2026-04-24,476,463509.12,0.502,0.498,88,383003.61,-6286.35,188358.63,194644.98,76,4860.60,0.00,0.00,0.415,0.2967,SEGMENT_READY,
BSB,P0,SEG_D,2026-04-25,2026-04-28,535,1568019.88,0.471,0.529,173,1556920.03,-64526.22,746196.91,810723.12,50,3484.29,0.00,0.00,0.511,0.4845,SEGMENT_READY,
BSB,P0,SEG_E,2026-04-13,2026-04-19,237,14881.19,0.574,0.426,45,1715.35,910.63,1312.99,402.36,65,956.30,0.00,0.00,0.661,0.4633,SEGMENT_READY,
BSB,P0,SEG_F,2026-04-20,2026-04-23,503,328070.24,0.495,0.505,130,202501.13,1639.75,102070.44,100430.69,63,7647.26,0.00,0.00,0.409,0.3031,SEGMENT_READY,
PEPE,CONTROL,SEG_RECENT,2026-03-21,2026-05-05,483,4059411.52,0.731,0.269,245,3688987.58,2269281.65,2979134.62,709852.96,83,101575.82,43344.18,0.00,0.757,0.5791,SEGMENT_READY,NO_EVENT_DATE
FLOKI,CONTROL,SEG_RECENT,2026-03-21,2026-05-05,419,820690.85,0.912,0.088,295,691372.11,175153.40,433262.76,258109.35,63,16615.88,32641.65,0.00,0.335,0.1767,SEGMENT_READY,NO_EVENT_DATE
PENDLE,P2,SEG_RECENT,2026-03-21,2026-05-05,279,971060.10,0.860,0.140,51,729098.12,132795.61,430946.87,298151.26,110,208912.83,4464.53,0.00,0.324,0.2266,SEGMENT_READY,NO_EVENT_DATE
ONDO,P2,SEG_RECENT,2026-03-21,2026-05-05,477,2935534.14,0.784,0.216,270,2623930.63,907608.88,1765769.76,858160.88,88,71666.57,161593.04,0.00,0.417,0.2216,SEGMENT_READY,NO_EVENT_DATE
