token,sample_group,window_type,matched_p0,segment,segment_start,segment_end,unique_transfer_count,transfer_volume_usd,labeled_transfer_ratio,unknown_transfer_ratio,cex_proxy_transfer_count,cex_proxy_transfer_volume_usd,cex_proxy_netflow_usd,to_cex_proxy_volume_usd,from_cex_proxy_volume_usd,dex_proxy_transfer_count,dex_proxy_transfer_volume_usd,fund_or_institution_transfer_volume_usd,market_maker_proxy_transfer_volume_usd,top_entity_transfer_share,entity_transfer_concentration,segment_readiness,limitations
LAB,P0,P0_EVENT,LAB,SEG_A,,,464,70976.91,0.998,0.002,20,5574.50,2923.28,4248.89,1325.61,442,65168.36,0.00,0.00,0.912,0.8368,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_B,,,495,105872.05,0.982,0.018,32,3999.97,1505.70,2752.83,1247.14,454,98708.18,0.00,0.00,0.960,0.9217,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_C,,,517,174788.74,0.961,0.039,34,8285.80,2466.96,5376.38,2909.42,462,155385.64,0.00,0.00,0.948,0.9017,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_D,,,527,248376.78,0.962,0.038,18,6262.10,2509.05,4385.57,1876.52,489,226322.55,0.00,0.00,0.964,0.9290,SEGMENT_READY,
LAB,P0,P0_EVENT,LAB,SEG_E,,,480,71321.72,0.950,0.050,17,1159.82,-232.63,463.60,696.22,439,65579.31,0.00,0.00,0.830,0.7065,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_A,,,451,140955.61,0.998,0.002,12,1740.86,1728.27,1734.56,6.30,438,138983.26,0.00,0.00,0.980,0.9613,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_B,,,583,159664.06,0.997,0.003,5,945.48,742.40,843.94,101.54,576,157964.41,0.00,0.00,0.993,0.9857,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_C,,,569,194853.05,0.986,0.014,6,36055.18,21638.90,28847.04,7208.14,555,157388.61,0.00,0.00,0.813,0.6843,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_D,,,530,159828.51,0.953,0.047,10,20851.66,18286.48,19569.07,1282.59,494,135916.86,0.00,0.00,0.802,0.6670,SEGMENT_READY,
UB,P0,P0_EVENT,UB,SEG_E,,,551,121063.35,0.973,0.027,6,2302.68,-1944.42,179.13,2123.55,529,117099.41,0.00,0.00,0.977,0.9541,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_A,,,491,76963.53,0.312,0.688,29,23910.92,1542.81,12726.86,11184.06,63,10321.86,0.00,0.00,0.390,0.2590,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_B,,,450,21900798.89,0.556,0.444,43,82256.32,-3626.89,39314.72,42941.60,92,4205.14,0.00,0.00,0.332,0.2504,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_C,,,476,463509.12,0.502,0.498,88,383003.61,-6286.35,188358.63,194644.98,76,4860.60,0.00,0.00,0.415,0.2967,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_D,,,535,1568019.88,0.471,0.529,173,1556920.03,-64526.22,746196.91,810723.12,50,3484.29,0.00,0.00,0.511,0.4845,SEGMENT_READY,
BSB,P0,P0_EVENT,BSB,SEG_E,,,441,360030.60,0.501,0.499,131,326894.27,105622.35,216258.31,110635.96,61,3160.54,0.00,0.00,0.695,0.5548,SEGMENT_READY,
PEPE,CONTROL,PSEUDO_EVENT,PEPE,SEG_A,,,76,230655.13,0.816,0.184,25,183684.97,4641.00,94162.99,89521.99,34,31009.84,0.00,0.00,0.312,0.1706,SEGMENT_READY,
