token,sample_group,date,in_usd,out_usd,total_volume_usd,net_volume_usd,in_value,out_value,total_value,net_value,volume_zscore_7d,volume_zscore_30d,net_volume_zscore_7d,in_out_imbalance,volume_change_3d,volume_change_7d,volume_status
LAB,P0,2026-02-24,17145.897235944536,12070.302347768511,29216.199583713045,5075.594888176025,127037.69985214561,89431.50805580999,216469.2079079556,37606.191796335625,,,,0.1737,,,OK
LAB,P0,2026-03-06,738477.0294278119,1014956.7617882347,1753433.7912160465,-276479.73236042284,5204904.317194072,7153577.729140859,12358482.04633493,-1948673.4119467875,1,1,-1,-0.1577,,,OK
LAB,P0,2025-10-22,1176201.3417395575,507068.2697970494,1683269.611536607,669133.071942508,5786769.172720041,2494714.916568923,8281484.089288964,3292054.2561511183,0.6626,0.6626,1.3535,0.3975,,,OK
LAB,P0,2025-11-01,1452353.0577757396,757184.988953852,2209538.0467295917,695168.0688218876,6873384.687132286,3583442.524899797,10456827.212032083,3289942.162232489,0.9557,0.9557,1.0023,0.3146,74.6272,,OK
LAB,P0,2025-11-11,189488.90692238175,163029.59859709963,352518.5055194814,26459.308325282123,1237026.1776746577,1064293.86540824,2301320.0430828976,172732.31226641778,-0.9988,-0.9988,-0.5072,0.0751,-0.799,,OK
LAB,P0,2025-12-05,228405.99291888604,372202.9918776544,600608.9847965405,-143796.99895876835,2404222.994451549,3917843.7493700595,6322066.743821608,-1513620.7549185106,-0.6211,-0.6211,-0.8045,-0.2394,-0.6432,,OK
LAB,P0,2025-12-09,417099.1639465555,471189.12031227414,888288.2842588297,-54089.95636571862,3485236.504784214,3937206.460044404,7422442.964828618,-451969.9552601902,-0.2457,-0.2457,-0.515,-0.0609,-0.598,,OK
LAB,P0,2026-03-18,15915.995283021264,24279.01008140795,40195.00536442921,-8363.014798386685,79248.71677897024,120889.73133008,200138.44810905022,-41641.014551109765,-1.1524,-1.1524,-0.3598,-0.2081,-0.886,0.3758,OK
LAB,P0,2026-05-02,20687072.79788647,5987893.860232619,26674966.658119086,14699178.93765385,17096754.378418583,4948672.611762495,22045426.990181077,12148081.76665609,2.6366,2.8167,2.6393,0.551,43.4132,14.213,OK
LAB,P0,2025-10-29,220932.1216587257,324562.80277523154,545494.9244339572,-103630.68111650585,1285415.7745044427,1888354.4111756822,3173770.185680125,-602938.6366712395,-0.4186,-0.3776,-0.4307,-0.19,-0.3859,-0.6759,OK
LAB,P0,2025-11-19,131434.2717486257,164701.862538619,296136.1342872447,-33267.59078999329,1172368.849778127,1469109.468723744,2641478.318501871,-296740.618945617,-0.4244,-0.3877,-0.3955,-0.1123,6.3675,-0.866,OK
LAB,P0,2025-12-24,208095.39704912406,226137.04709649194,434232.444145616,-18041.650047367875,1333662.7319164795,1449289.8751962222,2782952.607112702,-115627.14327974268,-0.3798,-0.3515,-0.3718,-0.0415,-0.9837,0.2318,OK
LAB,P0,2026-01-03,132494.4629505404,139600.97734815045,272095.4402986908,-7106.514397610066,1081207.9266097643,1139199.9326616,2220407.8592713643,-57992.006051835604,-0.3971,-0.3575,-0.3686,-0.0261,-0.5012,-0.547,OK
LAB,P0,2026-01-23,32034.495901647035,33232.32651039207,65266.82241203911,-1197.8306087450364,198519.49842066242,205942.51929075998,404462.0177114224,-7423.020870097564,-0.412,-0.3712,-0.3716,-0.0184,-0.7796,-0.9265,OK
LAB,P0,2026-03-23,7839.516834115089,31497.865081301632,39337.38191541672,-23658.348247186543,36586.582696443744,146998.75897244,183585.34166888375,-110412.17627599626,-0.401,-0.3607,-0.3771,-0.6014,-0.9094,-0.0213,OK
LAB,P0,2025-10-26,481380.9344385315,1592222.4192362782,2073603.3536748097,-1110841.4847977466,1961801.3686634498,6488882.084450774,8450683.453114223,-4527080.715787324,-0.1992,-0.0473,-0.5645,-0.5357,6.6209,-0.9223,OK
LAB,P0,2025-10-28,342830.48714963853,294313.0217030213,637143.5088526598,48517.46544661722,1921501.6822833945,1649570.2322804956,3571071.91456389,271931.4500028989,0.1503,-0.2659,0.5639,0.0761,8.7621,0.168,OK
LAB,P0,2025-11-02,841425.948196632,1708551.4238046003,2549977.372001232,-867125.4756079683,4935831.176764836,10022416.59268388,14958247.769448716,-5086585.415919044,1.9465,0.0442,-1.4292,-0.3401,63.8233,7.6108,OK
LAB,P0,2026-01-01,153357.20105029442,92321.82146578815,245679.02251608256,61035.37958450627,1315309.5446617703,791823.0909462594,2107132.6356080296,523486.4537155109,-0.6013,-0.3316,0.6873,0.2484,-0.8815,-0.4342,OK
LAB,P0,2026-03-15,60332.13634871552,87347.6352935871,147679.77164230263,-27015.49894487158,311649.03325954603,451199.10787533986,762848.1411348858,-139550.07461579383,-0.6563,-0.3386,0.4893,-0.1829,-0.7682,-0.4573,OK
LAB,P0,2025-10-18,3754272.7705142484,3125611.389424104,6879884.159938352,628661.3810901446,12066417.590215951,10045868.94850484,22112286.53872079,2020548.641711112,2.4109,0.8091,1.5136,0.0914,1.698,104.4117,OK
LAB,P0,2025-11-14,1051378.4203988255,119859.51662212779,1171237.9370209533,931518.9037766978,7918616.137308228,902740.1401047484,8821356.277412977,7015875.9972034795,-0.2564,-0.1959,1.5342,0.7953,3.7674,28.7742,OK
LAB,P0,2026-03-08,1329.045918819013,27699.121152997144,29028.16707181616,-26370.07523417813,8849.863286781685,184443.16475223997,193293.02803902165,-175593.3014654583,-0.791,-0.3922,0.0296,-0.9084,-0.8034,-0.986,OK
LAB,P0,2025-10-21,555620.8756849237,424988.9619698133,980609.837654737,130631.91371511045,2995406.1150402087,2291156.7783332537,5286562.893373462,704249.336706955,-0.28,-0.2121,0.0419,0.1332,-0.8575,0.5391,OK
LAB,P0,2025-10-27,498615.68404677004,462964.92237890506,961580.6064256751,35650.76166786498,2294268.576718324,2130229.5686253,4424498.145343624,164039.00809302367,-0.31,-0.2111,-0.1475,0.0371,-0.179,-0.6229,OK
