chain,address,moralis_entity,moralis_label,moralis_confidence,arkham_entity,arkham_label,arkham_entity_type,arkham_confidence,label_match_status,merged_entity,merged_label,merged_confidence,conflict_reason,action
ethereum,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,,,MEDIUM,Bitget,Hot Wallet,cex,HIGH,ARKHAM_ONLY,Bitget,Hot Wallet,HIGH,,USE_ARKHAM
ethereum,125,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x000000000004444c5dc75cb358380d2e3de08a90,,,MEDIUM,Uniswap,PoolManager,dex,HIGH,ARKHAM_ONLY,Uniswap,PoolManager,HIGH,,USE_ARKHAM
ethereum,7.352907246350817,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x912ea703f42926096214f278ea689efe63e9febc,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,1,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x992c0c1433f321f568953127b5524bcc83ad7d74,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xbda2754bba59b2f364db013947c3c5546843e94b,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xaf2c9332398118a024bf56df286e5825dc929bcb,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,24.86325356408305,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x2fbc5155c08ee39607965bd47f18320c95dc4d80,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x65256908fad62707b78e978efa29b1b7ada7054b,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xdcf9cb5496684c73f9623cfe69a5169c3bf1dbaf,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,6.96293084230582,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x4f3879110135f1f4f85541be3cbbfc6081d7712c,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x8e1068373f3ea504961ba65105a3dfaa4cecaf0a,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,12.710263547203702,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xff335b2f93e9b50f025f1672b5751c87651bfb89,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x25a2f97c066a716974297399647d27bc0ec2c94a,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xf89d7b9c864f589bbf53a82105107622b35eaa40,,,MEDIUM,Bybit,Hot Wallet,cex,HIGH,ARKHAM_ONLY,Bybit,Hot Wallet,HIGH,,USE_ARKHAM
ethereum,1428.4812106935822,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xe9fb2a6665b1cefc35fcae291e08fe23799828f8,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xa89718f32d705ccd04179171d40c0cf7d8d27128,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xbecb96c1b2ef344109431edc27134bb2b463443d,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x63331460c36da1494d0b2ef4bf9f0d8d5f065545,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x44282ce11c9b20c17436f39ddcc8d986ae8ea552,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,6667,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,18.194728313705934,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x74de5d4fcbf63e00296fd95d33236b9794016631,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xeadab66c14a183fa8850cfcd185df987f242ef1c,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0xfb60ef241afbae68e0605cabc5369c893b2eb61f,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x01e4e86db5f15b914c27ce808774b3a07f27a899,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x516e2690ac865561b7e79136ce9d3231121b2b38,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x4a532fbaa8e31fab0362281cc6a1ca1328b5b1ff,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,2818.7477640000006,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x8c80a47ed0ca3e41df78db2c29e8c89f2f04dee2,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,165.83182030723194,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x2fdb53366b19b97d3ebdb294457790044555ee0f,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x4f31093c224c5133e53875d4963873b1476147de,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x43078158881ec9bbc63b1126d1213f7162512436,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
ethereum,0x02591b4fb2cdbac1a95f488c4fd74612335d37db,,,MEDIUM,,,,UNKNOWN,UNKNOWN_BOTH,,,REVIEW_REQUIRED,No labels from either channel,REVIEW
