chain,address,address_type,arkham_entity_id,arkham_entity_name,arkham_entity_type,arkham_label,arkham_confidence,moralis_entity,moralis_label,moralis_confidence,merged_entity,merged_label,merged_confidence,label_match_status,first_seen_source,first_seen_token,first_seen_date,last_updated_at,limitations
ethereum,0xa2c7bB99D87845843a92B1b33e03B98f1f8d0247,HOLDER,,,,Vesting (Proxy),HIGH,,,,,Vesting (Proxy),HIGH,ARKHAM_ONLY,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,Only Arkham has label
ethereum,0x3ee18B2214AFF97000D974cf647E7C347E8fa585,HOLDER,wormhole,Wormhole,bridge,Token Bridge,HIGH,,,,Wormhole,Token Bridge,HIGH,ARKHAM_ONLY,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,Only Arkham has label
ethereum,0x05F76dFB6339c8C1F327c13387fc61F4c9Dc25e0,HOLDER,,,,,UNKNOWN,,,,,,REVIEW_REQUIRED,UNKNOWN_BOTH,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,No labels from either channel
ethereum,0x7968D8Efc434D125051426344CF33B29F2Cf1258,HOLDER,,,,,UNKNOWN,,,,,,REVIEW_REQUIRED,UNKNOWN_BOTH,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,No labels from either channel
ethereum,0xa085A7e526d5498B5A2BC95e55E60362388F62db,HOLDER,,,,Gnosis Safe Proxy,HIGH,,,,,Gnosis Safe Proxy,HIGH,ARKHAM_ONLY,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,Only Arkham has label
ethereum,0xCbd3C6302F542Ad72b29fb7BC660e94AC2849f45,HOLDER,,,,,UNKNOWN,,,,,,REVIEW_REQUIRED,UNKNOWN_BOTH,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,No labels from either channel
ethereum,0xf440139a62b2B939699C5b3e09F88E40464Ab9bc,CEX_ENTITY,bybit,Bybit,cex,Hot Wallet,HIGH,,,,Bybit,Hot Wallet,HIGH,ARKHAM_ONLY,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,Only Arkham has label
ethereum,0x351CAd24ad9Fcbc0c1CCbC99abb1138D8f81c716,HOLDER,,,,,UNKNOWN,,,,,,REVIEW_REQUIRED,UNKNOWN_BOTH,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,No labels from either channel
ethereum,0x7c17Cb443ba89550d3b5D08726cc042Ba549e9B2,HOLDER,,,,,UNKNOWN,,,,,,REVIEW_REQUIRED,UNKNOWN_BOTH,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,No labels from either channel
ethereum,0x1AB4973a48dc892Cd9971ECE8e01DcC7688f8F23,CEX_ENTITY,bitget,Bitget,cex,Hot Wallet,HIGH,,,,Bitget,Hot Wallet,HIGH,ARKHAM_ONLY,ARKHAM_HOLDERS,BSB,2026-05-04,2026-05-04,Only Arkham has label
