token,chain,holder_address,holder_entity_id,holder_entity_name,holder_entity_type,holder_label,balance,balance_usd,pct_of_cap,source_channel,source_confidence,limitations
BSB,ethereum,0xa2c7bB99D87845843a92B1b33e03B98f1f8d0247,,,,Vesting (Proxy),784800000,672801192,0.7848,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0x3ee18B2214AFF97000D974cf647E7C347E8fa585,wormhole,Wormhole,bridge,Token Bridge,40978836.81595778,35130747.01395245,0.04097883681595778,ARKHAM_CHANNEL,HIGH,
BSB,ethereum,0x05F76dFB6339c8C1F327c13387fc61F4c9Dc25e0,,,,,36600000,31376813.999999996,0.0366,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0x7968D8Efc434D125051426344CF33B29F2Cf1258,,,,,29000000,24861410,0.029,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0xa085A7e526d5498B5A2BC95e55E60362388F62db,,,,Gnosis Safe Proxy,20000000,17145800,0.02,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0xCbd3C6302F542Ad72b29fb7BC660e94AC2849f45,,,,,14750000,12645027.5,0.01475,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0xf440139a62b2B939699C5b3e09F88E40464Ab9bc,bybit,Bybit,cex,Hot Wallet,11997620.020018896,10285439.666962,0.011997620020018897,ARKHAM_CHANNEL,HIGH,
BSB,ethereum,0x351CAd24ad9Fcbc0c1CCbC99abb1138D8f81c716,,,,,10000000,8572900,0.01,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0x7c17Cb443ba89550d3b5D08726cc042Ba549e9B2,,,,,10000000,8572900,0.01,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0x1AB4973a48dc892Cd9971ECE8e01DcC7688f8F23,bitget,Bitget,cex,Hot Wallet,9284023.47481594,7959100.484724957,0.00928402347481594,ARKHAM_CHANNEL,HIGH,
BSB,ethereum,0x468b08f3cb200412F44cAc7Ec0ae5A2109264435,,,,BSBOFTAdapter,6412920.934866,5497732.9882512735,0.006412920934866,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0xd3F0B81CccB3294284cD84BA9CC4b08f38Fa4fE2,,,,Proxy (EIP-1967 Transparent),5001685.126841875,4287894.642390271,0.005001685126841875,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0x2548F1582C4592358F6fD95c3D90f3A48E1f860F,,,,Gnosis Safe Proxy,5000000,4286450,0.005,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0x8B3503Cd8Db88CF6bd4B2d9a8Ca27b4d4cAee7fa,,,,,5000000,4286450,0.005,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0x9D6EfaB3f2AEB6a46350CB571Ba17f08dA46Dbb8,,,,,5000000,4286450,0.005,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0xBdEFeDf62d401ec15672dB9058d9FF9bAfa548ad,,,,Gnosis Safe Proxy,5000000,4286450,0.005,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0x974b08E3CA65406451cB5867C032eB276fCf90b4,,,,,225488.83512809838,193309.3234669675,0.00022548883512809838,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
BSB,ethereum,0xf89d7b9c864f589bbF53a82105107622B35EaA40,bybit,Bybit,cex,Hot Wallet,156300.0275580445,133994.45062523597,0.0001563000275580445,ARKHAM_CHANNEL,HIGH,
BSB,ethereum,0xf26A42d11d7cb39585A2a765EB6946F5526F0F6C,,,,GOPAX Deposit,61600,52809.064,0.0000616,ARKHAM_CHANNEL,HIGH,Label-based identification
BSB,ethereum,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,mexc,MEXC,cex,Hot Wallet,28945.382196459188,24814.586703202498,0.00002894538219645919,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0xffa8DB7B38579e6A2D14f9B347a9acE4d044cD54,bitget,Bitget,cex,Cold Wallet,262819645.39147502,433652414.8959338,0.262819645391475,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0xB4b74D63F30076870d54aB9E8E6a7D18293273c3,,,,Gnosis Safe Proxy,200000000,330000000,0.2,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0xB471837F03d01b628BFF32A515baF679CCdfAbb8,,,,Gnosis Safe Proxy,150000000,247499999.99999997,0.15,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x7Cfd8d2d8626B287bEA569b5e65AB5CBb75E9265,,,,Gnosis Safe Proxy,138000010,227700016.49999997,0.13800001,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x78a79D0fa0Eaf58741f5Bde7E05b5CC8F33D24d3,,,,Gnosis Safe Proxy,108000000,178200000,0.108,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0xf79ff8a5052E969a6d13E18c4E439fE5202B02Fa,,,,Gnosis Safe Proxy,93600000,154439999.99999997,0.0936,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x4F867fcb9d55e5Fb8C6457e240Da173B4c890F98,,,,,11133324,18369984.599999998,0.011133324,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
LAB,bsc,0xC882b111A75C0c657fC507C04FbFcD2cC984F071,gate-io,Gate,cex,Cold Wallet,8620759.233348982,14224252.73502582,0.008620759233348983,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,gate-io,Gate,cex,Hot Wallet,4905446.258667332,8093986.326801096,0.004905446258667332,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x36FC85Ec486C254c9564d66de8c4210a1A20C291,,,,Gnosis Safe Proxy,4112000,6784799.999999999,0.004112,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x73D8bD54F7Cf5FAb43fE4Ef40A62D390644946Db,binance-wallet,Binance Wallet,misc,Proxy (EIP-1967 Transparent),2714710.5637124456,4479272.4301255355,0.0027147105637124456,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x4982085C9e2F89F2eCb8131Eca71aFAD896e89CB,mexc,MEXC,cex,Hot Wallet,1713079.2938153194,2826580.8347952766,0.0017130792938153195,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x69be413D648ae00f0Fbd9856F1355E22B36Ee5e0,kucoin,KuCoin,cex,Cold Wallet,932085.648940598,1537941.3207519865,0.000932085648940598,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x53f78A071d04224B8e254E243fFfc6D9f2f3Fa23,kucoin,KuCoin,cex,Hot Wallet,916376.0304533144,1512020.4502479688,0.0009163760304533145,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x8dac80CE96F69F9762Bc450faa4d7FBd5891Ae18,kucoin,KuCoin,cex,Cold Wallet,735074.8373957142,1212873.4817029287,0.0007350748373957142,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0xD5dA17A84314194E348649C89a65143A061f7190,,,,Gate Deposit,605696.7034540916,999399.560699251,0.0006056967034540916,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x6455327F820eDD69c4Cd665b995E0fEC679d7F9E,wintermute,Wintermute,fund,Gate Deposit,581612.6821,959660.9254649999,0.0005816126821,ARKHAM_CHANNEL,HIGH,
LAB,bsc,0x17c0aE0aC1F0C00a771364AF8f4eaD290B4c02aE,,,,StakingWithUnbonding,459581.73880033585,758309.8690205541,0.0004595817388003358,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x035AE7d933dCBFE617fFbA194A88Af0c2867B90c,,,,Gate Deposit,431406.82939302,711821.268498483,0.00043140682939302004,ARKHAM_CHANNEL,HIGH,Label-based identification
LAB,bsc,0x17A30350771d02409046A683b18Fe1C13cCFC4A8,kucoin,KuCoin,cex,ERC1967Proxy,425543.98,702147.5669999999,0.00042554398,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xbB37e9c98B68a0DaFA802E71A47d737b7864FAad,,,,Gnosis Safe Proxy,571006138.6167432,76892828.63840787,0.057100613861674324,ARKHAM_CHANNEL,HIGH,Label-based identification
UB,bsc,0xc82C31b242d49dB07F9282295b6E8e391771A588,,,,Gnosis Safe Proxy,275414386,37087852.04753201,0.0275414386,ARKHAM_CHANNEL,HIGH,Label-based identification
UB,bsc,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,gate-io,Gate,cex,Hot Wallet,166260138.82791606,22388922.81484483,0.016626013882791606,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xdA2B59Fe9bDF259B2d22b49A39444ab07162ceA7,,,,,156304000,21048209.248000003,0.0156304,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0xa5849fE818f0ee0675347F6018DA9A49C93814eE,,,,Gnosis Safe Proxy,100000000,13466200.000000002,0.01,ARKHAM_CHANNEL,HIGH,Label-based identification
UB,bsc,0x8dac80CE96F69F9762Bc450faa4d7FBd5891Ae18,kucoin,KuCoin,cex,Cold Wallet,90478708.94,12184043.90327828,0.009047870894,ARKHAM_CHANNEL,HIGH,
UB,bsc,0x69be413D648ae00f0Fbd9856F1355E22B36Ee5e0,kucoin,KuCoin,cex,Cold Wallet,70357462.3324069,9474476.592606578,0.00703574623324069,ARKHAM_CHANNEL,HIGH,
UB,bsc,0x73D8bD54F7Cf5FAb43fE4Ef40A62D390644946Db,binance-wallet,Binance Wallet,misc,Proxy (EIP-1967 Transparent),38701379.56040305,5211605.174362996,0.0038701379560403047,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xb8e6D31e7B212b2b7250EE9c26C56cEBBFBe6B23,kucoin,KuCoin,cex,Hot Wallet Vault (Proxy),36657762.05,4936407.5531771,0.0036657762049999995,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xd8EEd92287646aE1172587F36633F3A4aCAc2f83,,,,,32258815.250083,4344036.579206677,0.0032258815250082997,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0x17A30350771d02409046A683b18Fe1C13cCFC4A8,kucoin,KuCoin,cex,ERC1967Proxy,27088553.72,3647798.8210426406,0.002708855372,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xafB9e9B25639CE244cDA8a7884890DbaF61E0121,,,,,21228717.89729802,2858701.609485946,0.002122871789729802,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0x916F992Df86795F24de6C268CFB9031fBB1155da,pancakeswap,PancakeSwap,dex,V3 Pool,13788723.445260549,1856817.0765856758,0.001378872344526055,ARKHAM_CHANNEL,HIGH,
UB,bsc,0xfCc6f65a71DfDfC6d21738C40700C42C5920F1B6,,,,,9715443.848815493,1308301.099569192,0.0009715443848815493,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0xFa86d9E2879419E7F4e6b30b00803CEfC5ae4CD5,,,,,7714894.64,1038903.1420116799,0.000771489464,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0xe5848a9df1C1f96B4B186b14C366850a096f3441,,,,,7385468.392,994541.944603504,0.0007385468392,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0xfC89C020774524c9d03BD5DE48FEC149B10BDec3,,,,,5951616.69,801456.60670878,0.000595161669,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0x2D098D4CA7F5bE5fF854a2940cA7F295F87A0256,,,,,4892037.429397884,658771.544317578,0.0004892037429397884,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0x2cA5c61c578E9a5EF0b11b60aD075C8bcAF68F95,,,,,4677935.613052804,629940.1655249167,0.0004677935613052804,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
UB,bsc,0xcfFeADf091A265EC8022E8Bc67Ed64B16240F9b0,,,,,4518712.069333592,608498.8046806002,0.00045187120693335924,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0x8c84E3E575eA1383FFc855C21671F70577D39007,,,,,126323345,4563224.9310726505,0.0126323345,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0x10F3BC8579F7c8dd7Efb7197144177f499c795D7,,,,Coinbase Prime Custody,54898735.18121968,1983127.3234832156,0.005489873518121968,ARKHAM_CHANNEL,HIGH,Label-based identification
AI,ethereum,0x73D8bD54F7Cf5FAb43fE4Ef40A62D390644946Db,binance-wallet,Binance Wallet,misc,Proxy (EIP-1967 Transparent),53390610.552181594,1928648.77950236,0.005339061055218159,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x58edF78281334335EfFa23101bBe3371b6a36A51,kucoin,KuCoin,cex,Hot Wallet,14770218.799095193,533550.0786606714,0.0014770218799095194,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,mexc,MEXC,cex,Hot Wallet,14737800.436559338,532379.0181559945,0.0014737800436559337,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,coinbase,Coinbase,cex,Hot Wallet,14372460.147246003,519181.6957092219,0.0014372460147246003,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0xf8191D98ae98d2f7aBDFB63A9b0b812b93C873AA,wintermute,Wintermute,fund,Hot Wallet,12060922.58355213,435681.1690270095,0.001206092258355213,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x3198CA64EBfF6d008860f2c450CfCBf1fAaC7677,uniswap,Uniswap,dex,V3 Pool,12001185.075632188,433523.2489255396,0.001200118507563219,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0xc61be01b0106388c372cD21C0f44b5f8B82A529D,,,,,10465073.644235266,378033.72732795886,0.0010465073644235266,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0xe52D3Ba60C4F140C2632A8F34B44d03efaA75620,,,,,9928165,358638.77771605,0.0009928165,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0x9b0c45d46D386cEdD98873168C36efd0DcBa8d46,revolut,Revolut,cex,,2750667.357,99363.37468383308,0.00027506673569999997,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x16bc66C571993339f4c03b94E46C681dECE77645,,,,,2404160.572401,86846.38189625311,0.00024041605724010003,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0xe92e65049b3c2ca12806E9567B08895118c5a03f,gsr-markets,GSR Markets,fund,,1886493.29471375,68146.49528746384,0.000188649329471375,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x6aa065A9b4408c054b8DcC24bAD1049C8E318722,,,,,1438982.2143050996,51980.886950762404,0.00014389822143050997,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0x000000000004444c5dc75cB358380D2e3dE08A90,uniswap,Uniswap,dex,PoolManager,1260295.8365334314,45526.132812556665,0.00012602958365334315,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0x95618717d88A1010FB3552D35957f9362fB871FD,,,,,1243805.0927424727,44930.431573020665,0.00012438050927424726,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0xe24AeB9662f3dB4884142F0463fD9069eD88691C,,,,,1164103.1141777185,42051.32751159397,0.00011641031141777185,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
AI,ethereum,0xCD7f6b72049C3b54416f9F26392cB271e74ca3FD,ilnur94551132,@Ilnur94551132,individual,ilnur.eth,1076176.1273,38875.108431625005,0.00010761761273000001,ARKHAM_CHANNEL,HIGH,
AI,ethereum,0xba08d979C7f0021e360d0298B6Ff995BdEfb23df,,,,bfox.eth,1067094.9140447455,38547.06440515655,0.00010670949140447455,ARKHAM_CHANNEL,HIGH,Label-based identification
AI,ethereum,0xd763177e5FBaaF48a5d1bB6F41A402Ac25c54465,,,,TokenDistributor,1051379.72,37979.378636056405,0.000105137972,ARKHAM_CHANNEL,HIGH,Label-based identification
TROLL,ethereum,51ig4tkZD1kCcnXLRuFre1nxyJg83aFTfQb5UGLPwMHy,,,,Coinbase Prime Custody,80734788.317843,3878861.729988725,0.08082519214367273,ARKHAM_CHANNEL,HIGH,Label-based identification
TROLL,ethereum,AgYNk2hnMnSjbt5KZdEoapmxT3Jbuw79yiwgG43WAaHU,,,,,35620552.606155,1711371.283480888,0.03566043918170516,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,4QXXp184iMKjL1ZTLrGtjMFvR2n2YhpUS1WypmzGaYB3,indodax,Indodax,cex,Hot Wallet,28543579.878828,1371361.7380525533,0.02857554192242392,ARKHAM_CHANNEL,HIGH,
TROLL,ethereum,4w2cysotX6czaUGmmWg13hDpY4QEMG2CzeKYEQyK9Ama,pump-fun,pump.fun,meme,PumpSwap Market,25850503.468037,1241974.255365069,0.025879449904410066,ARKHAM_CHANNEL,HIGH,
TROLL,ethereum,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,,,,,25828455.990895,1240914.995569995,0.02585737773931972,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,4RxoAPLxeWyoW1KEiGCe14Pb1DxgKMVvm8PRFhgWeEdH,,,,,20000000.011298,960889.8005428066,0.02002239527058199,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,9qpucJgTkTVSbMPksG4fequu9STgFxr9AQmLN25MwiBV,,,,frostx.sol,16855962.942599,809836.1430360682,0.016874837625617374,ARKHAM_CHANNEL,HIGH,Label-based identification
TROLL,ethereum,dM7Gffpk78enWQww81c93rCUPn4zziqyvV5NcFJbJa6,,,,,15110572.877093,725979.7674877659,0.015127493136959047,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,DE5qJfYPjtUbJaes8iK8TjCx3j4V68GGV6P3hHb7DkkE,,,,,11000000.811156,528489.4289715764,0.011012318204663536,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,9HLb8fGKGMkBQdU41tjKnpa5ZRFscS4ZMoqFxzC4i4KE,,,,,10043223.379377,482521.5452182445,0.010054469408952054,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,4hwPamSooBr5JhxHdcEC21HoxN5HUwYR2hGucLPyZAi8,jotagezin,@jotagezin,individual,"jotagezin" on Fomo,10000000,480444.9,0.010011197629635668,ARKHAM_CHANNEL,HIGH,
TROLL,ethereum,2wGvJFgAXYghGT1ZySYZHxEppJX8jY9RpH4qGD6dvj4f,,,,"adiosdavid" on Pump.fun,9516799.623899,457229.78436241933,0.009527456183649528,ARKHAM_CHANNEL,HIGH,Label-based identification
TROLL,ethereum,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,gate-io,Gate,cex,Hot Wallet,8568439.217527,411666.2923020838,0.008578033838418361,ARKHAM_CHANNEL,HIGH,
TROLL,ethereum,5KqV2amZ4Agt9U7wCwbgZV1uwdC4QFh3sf6ZAw2Rcyey,,,,,8360004.974,401652.1753732933,0.00836936619794512,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
TROLL,ethereum,G23RB28wwx86rwZsTjdGesfbz8tPgwgwQF67k6UPXsjD,,,,,8074670.167798,387943.41013006936,0.008083711884394919,ARKHAM_CHANNEL,UNKNOWN,No entity or label attribution available
