token,metric,SEG_A_baseline,SEG_B_pre,SEG_C_immediate_pre,SEG_D_breakout,SEG_E_peak,SEG_F_post_peak,peak_to_baseline_ratio,breakout_to_baseline_ratio,pre_to_baseline_ratio,limitations
LAB,unique_transfer_count,464,495,517,527,519,515,1.12,1.14,1.07,
LAB,transfer_volume_usd,70976.91,105872.05,174788.74,248376.78,162957.76,169201.03,2.30,3.50,1.49,
LAB,labeled_transfer_ratio,0.998,0.982,0.961,0.962,0.992,0.986,0.99,0.96,0.98,
LAB,unknown_transfer_ratio,0.002,0.018,0.039,0.038,0.008,0.014,4.00,19.00,9.00,
LAB,cex_proxy_transfer_count,20,32,34,18,66,68,3.30,0.90,1.60,
LAB,cex_proxy_netflow_usd,2923.28,1505.70,2466.96,2509.05,11740.91,2496.71,4.02,0.86,0.52,
LAB,dex_proxy_transfer_count,442,454,462,489,449,440,1.02,1.11,1.03,
LAB,top_entity_transfer_share,0.912,0.960,0.948,0.964,0.798,0.870,0.88,1.06,1.05,
UB,unique_transfer_count,451,579,569,530,521,522,1.16,1.18,1.28,
UB,transfer_volume_usd,140955.61,159003.58,194853.05,159828.51,175725.62,334818.77,1.25,1.13,1.13,
UB,labeled_transfer_ratio,0.998,0.997,0.986,0.953,0.935,0.943,0.94,0.95,1.00,
UB,unknown_transfer_ratio,0.002,0.003,0.014,0.047,0.065,0.057,32.50,23.50,1.50,
UB,cex_proxy_transfer_count,12,5,6,10,12,3,1.00,0.83,0.42,
UB,cex_proxy_netflow_usd,1728.27,742.40,21638.90,18286.48,756.24,180984.89,0.44,10.58,0.43,
UB,dex_proxy_transfer_count,438,572,555,494,475,489,1.08,1.13,1.31,
UB,top_entity_transfer_share,0.980,0.993,0.813,0.802,0.992,0.708,1.01,0.82,1.01,
BSB,unique_transfer_count,491,450,476,535,237,503,0.48,1.09,0.92,
BSB,transfer_volume_usd,76963.53,21900798.89,463509.12,1568019.88,14881.19,328070.24,0.19,20.37,284.56,
BSB,labeled_transfer_ratio,0.312,0.556,0.502,0.471,0.574,0.495,1.84,1.51,1.78,
BSB,unknown_transfer_ratio,0.688,0.444,0.498,0.529,0.426,0.505,0.62,0.77,0.65,
BSB,cex_proxy_transfer_count,29,43,88,173,45,130,1.55,5.97,1.48,
BSB,cex_proxy_netflow_usd,1542.81,-3626.89,-6286.35,-64526.22,910.63,1639.75,0.59,-41.82,-2.35,
BSB,dex_proxy_transfer_count,63,92,76,50,65,63,1.03,0.79,1.46,
BSB,top_entity_transfer_share,0.390,0.332,0.415,0.511,0.661,0.409,1.69,1.31,0.85,
