token,sample_group,metric,T_minus_30,T_minus_14,T_minus_7,T_minus_3,T_minus_1,T0,T_plus_1,T_plus_3,T_plus_7,near_peak,post_peak,limitations
LAB,P0,total_volume_usd,26786.273492629687,1478861.2226976557,2871243.822369609,24038595.211620927,469431.48635433626,26674966.658119086,41927687.67911985,,,26674966.658119086,,
LAB,P0,net_volume_usd,-408.2467327923732,300115.10870159906,1232845.5594636423,-58301.50589575432,36196.03173942119,14699178.93765385,-10588323.27494873,,,14699178.93765385,,
LAB,P0,in_out_imbalance,-0.0152,0.2029,0.4294,-0.0024,0.0771,0.551,-0.2525,,,0.551,,
LAB,P0,volume_zscore_7d,-0.8066,1.5411,2.6217,0.3904,-0.3465,2.6366,2.6417,,,2.6366,,
UB,P0,total_volume_usd,257325.63804605592,304632.0321037882,5023971.060479573,956271.6380263877,20192734.905965,16340322.883621097,13274176.794737086,0,,16340322.883621097,,
UB,P0,net_volume_usd,-194188.12005017058,261544.07518058573,3985226.4602378486,-349445.7278290046,10649238.712480808,-11021097.582428388,-9901351.513509758,0,,-11021097.582428388,,
UB,P0,in_out_imbalance,-0.7546,0.8586,0.7932,-0.3654,0.5274,-0.6745,-0.7459,,,-0.6745,,
UB,P0,volume_zscore_7d,-0.6887,-0.4646,0.306,-0.1152,2.6427,2.616,1.9045,-0.9288,,2.616,,
AI,P0,total_volume_usd,,,,,0,9553101.658710834,3164776.0103441766,578650.7369430958,,9553101.658710834,,short history
AI,P0,net_volume_usd,,,,,0,1423552.0005692896,181084.46789917583,258184.01482202453,,1423552.0005692896,,short history
AI,P0,in_out_imbalance,,,,,,0.149,0.0572,0.4462,,0.149,,short history
AI,P0,volume_zscore_7d,,,,,-0.9175,1.9877,0.2273,,,1.9877,,short history
PEPE,CONTROL,total_volume_usd,15535043.244862001,18486440.20096738,29873724.352220908,12258719.380757978,15721070.88485898,39752851.610999174,22446560.617515642,8057350.672125159,,39752851.610999174,,
PEPE,CONTROL,net_volume_usd,-2394951.989884752,700438.2738417648,-51107.08696630038,526834.8788113352,377158.951538858,952482.7147994712,-1049639.6931079365,-634480.0463480386,,952482.7147994712,,
PEPE,CONTROL,in_out_imbalance,-0.1542,0.0379,-0.0017,0.043,0.024,0.024,-0.0468,-0.0787,,0.024,,
PEPE,CONTROL,volume_zscore_7d,-1.0614,-0.7605,-0.8529,-0.536,-0.1412,-0.5427,-0.6614,-0.6923,,-0.5427,,
