token,network,pool_address,timeframe,token_param,status_code,rows,first_ts,last_ts,likely_reason
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,hour,base,200,24,1970-01-21,1970-01-21,OK
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,hour,quote,200,24,1970-01-21,1970-01-21,OK
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,hour,base,200,42,1970-01-21,1970-01-21,OK
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,minute,base,200,100,1970-01-21,1970-01-21,OK
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,day,base,200,30,1970-01-21,1970-01-21,OK
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,day,LAB,400,0,,,EMPTY_BUT_NO_ERROR
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,hour,base,200,24,1970-01-21,1970-01-21,OK
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,hour,quote,200,24,1970-01-21,1970-01-21,OK
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,hour,base,200,42,1970-01-21,1970-01-21,OK
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,minute,base,200,100,1970-01-21,1970-01-21,OK
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,day,base,200,30,1970-01-21,1970-01-21,OK
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,day,PEPE,400,0,,,EMPTY_BUT_NO_ERROR
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,hour,base,200,24,1970-01-21,1970-01-21,OK
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,hour,quote,200,24,1970-01-21,1970-01-21,OK
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,hour,base,200,42,1970-01-21,1970-01-21,OK
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,minute,base,200,100,1970-01-21,1970-01-21,OK
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,day,base,200,30,1970-01-21,1970-01-21,OK
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,day,WIF,400,0,,,EMPTY_BUT_NO_ERROR
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,hour,base,200,24,1970-01-21,1970-01-21,OK
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,hour,quote,200,24,1970-01-21,1970-01-21,OK
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,hour,base,200,42,1970-01-21,1970-01-21,OK
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,minute,base,200,100,1970-01-21,1970-01-21,OK
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,day,base,200,30,1970-01-21,1970-01-21,OK
FLOKI,eth,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,day,FLOKI,400,0,,,EMPTY_BUT_NO_ERROR
