token,network,pool_address,dex_id,pool_name,reserve_usd,volume_h24,tx_buys,tx_sells,tx_buyers,tx_sellers,price_change_h24,rank
BSB,eth,0x2e0822dddc839e6b5c2d4e4a80d73f68931b306795a13d8452681c5e317018d0,uniswap-v4-ethereum,BSB / USDT 5%,2125.947,6015.2721666618,33,93,7,92,30.77,1
BSB,eth,0x3674f9697a6a404e4a1e71bbfe08276cf820227df25fa8d4616ed87a629c8672,uniswap-v4-ethereum,BSB / USDT 5.5%,1987.9291,3378.4144818541,35,29,9,29,40.51,2
BSB,eth,0x1d4a15e721a3e255642eefb964eddedd457c28f5818dfaef0512d43df0306a68,uniswap-v4-ethereum,BSB / USDT 5%,9148.193,208.0369592906,0,5,0,5,-1.36,3
BSB,eth,0x6c171aec164d9ae1c365b99e62eac15c2e067c618fc1c073f090d16b5ce840e8,uniswap-v4-ethereum,BSB / USDT 2.889%,1020.302,1677.188694202,12,79,5,77,-11.78,4
BSB,eth,0xc20d498307342ad451b7feb3f3045426f95ccaee4f898a15c4503506d7c314be,uniswap-v4-ethereum,BSB / USDT 5.254%,2387.2376,216.8222958355,0,11,0,11,-10.22,5
BSB,eth,0x87cce02bf31aba171a38abb39ad60b066c470a52c31cdef63efbd4e4bfe081b2,uniswap-v4-ethereum,BSB / USDT 48.999%,5228.1639,57.9444501292,6,2,6,2,4.62,6
BSB,eth,0xdd026ad1519c3c0ee20f77ee760d952e3a7ddc547ef9e8a230d794e17a47563a,uniswap-v4-ethereum,BSB / USDT 2.889%,174.9696,491.7695810852,0,28,0,28,-8,7
BSB,eth,0x3178deb9f8e8fdbff3eb52b91a5670d9d15fac86a27a9d3044fcb48fbfc7ec22,uniswap-v4-ethereum,BSB / USDT 3.001%,20.3069,1136.0029222929,13,42,5,40,-5.48,8
BSB,eth,0x676861f64373adbac513ae9d10b7375e9d884c3627d958b5d25c3d73b43625b7,uniswap-v4-ethereum,BSB / USDT 7.9%,21.4694,246.2902281417,1,4,1,4,0.91,9
BSB,eth,0x37041e7df420455142a471d1bb9d6cca9da0cf987919facf234139105382f0cc,uniswap-v4-ethereum,BSB / USDT 8%,11.3245,135.5654926197,0,12,0,12,-1.32,10
BSB,eth,0x7f6af929e289be6dca7fed0e98a568e9ba05a1184c6b82364d2c75c90187cfe1,uniswap-v4-ethereum,USDT / BSB 4.99%,8330.054,0,0,0,0,0,0,11
BSB,eth,0xc9a17ce71b9250f11a1c8d4cbca38dd7a1949aff9ef9058c1570a8bb6bd46a32,uniswap-v4-ethereum,USDC / BSB 88%,6681.5797,0,0,0,0,0,0,12
BSB,eth,0xb7e66f38bcfde5a26a98466ed0ab46121dfcb7963b96601d5832d101edfec328,uniswap-v4-ethereum,USDT / BSB 4%,5932.1825,0,0,0,0,0,0,13
BSB,eth,0xfa41755c7057a4176fe702afb5e19f330aabfe7a8e6a8411912c9e6aa268ace8,uniswap-v4-ethereum,USDC / BSB 85%,2031.6656,0,0,0,0,0,0,14
BSB,eth,0x625ed6f90712a6f5a3dfe409337dbaecdfe36cc6147a49c824303fd9e931e181,uniswap-v4-ethereum,BSB / USDC 99.01%,1814.8465,0,0,0,0,0,0,15
BSB,eth,0xb82cf4f8ef2d20e55a60ab01e3ceed2ab6a5a496021c1e6b20ce0e98327c0494,uniswap-v4-ethereum,BSB / USDT 9%,1785.9247,0,0,0,0,0,0,16
BSB,eth,0x6c2c70b7f8a20ed544dcea1400f8d11526aa667c2ffbeec79f2c331a66b22558,uniswap-v4-ethereum,BSB / USDC 99.98%,568.8076,0,0,0,0,0,0,17
BSB,eth,0xc7c385760d0306386e3ea24552096e4592ae8d1550bf50093b39299da165379c,uniswap-v4-ethereum,BSB / USDC 99.821%,467.2511,0,0,0,0,0,0,18
BSB,eth,0x2a0a6b45c7f87255f590ffaf3485252e98eacf0b72144ad8f52b1e4dabab8c8d,uniswap-v4-ethereum,BSB / USDC 88.8%,450.8128,0,0,0,0,0,0,19
BSB,eth,0x358eaf2d98fec433e1b5ddae23ab61a40250339df19d2c31adb0df337afab583,uniswap-v4-ethereum,BSB / USDT 1.35%,418.8293,0,0,0,0,0,0,20
LAB,bsc,0xd9434e63fe78a6e77dafe2abc504121bf8500822f6d3a59eccba577cf0a070f2,pancakeswap-infinity-clmm,LAB / USDT 0.007%,3259298.1082,62899368.7428802,41403,42919,1858,1883,22.85,1
LAB,bsc,0x085f29091ee8a818ede960a89bd578fe4ac8e824,uniswap-bsc,LAB / USDT 0.3%,108967.6869,10397135.3687132,37631,39362,2124,2350,20.43,2
LAB,bsc,0xc7e3ca54c37f9fc884b588f395e6b60666308f28,uniswap-bsc,LAB / USDT 1%,62782.0728,2029130.71797275,9177,8788,789,848,20.15,3
LAB,bsc,0xb0656562dc43e4120c75f388d4559776f1ef18b21ff724c083fb0c0239f62041,uniswap-v4-bsc,LAB / USDT 0.95%,137246.4235,480811.605436023,8020,7901,700,656,20.68,4
LAB,bsc,0xc71f19d66de86b7c853cc955a5daf8641b1166799ab4714c6cde66f28cdbc07f,uniswap-v4-bsc,LAB / USDT 2.5%,152662.2403,41255.6841197196,1206,1124,320,331,15.31,5
LAB,bsc,0x7d7106e0bd3ee6d85e88dabf8721175731cd37f2,pancakeswap-v3-bsc,LAB / USDT 0.25%,3809.515,1037072.48433028,21758,21807,1402,1520,15.74,6
LAB,bsc,0x1f4698b6829647d933798204a578d7f459e20375dbdee4c76ee5f1e493caa0ca,uniswap-v4-bsc,LAB / USDT 0.922%,106443.1231,1462.0294297479,467,443,185,172,17.56,7
LAB,bsc,0x351ebc466921d30182e7a6d5a350fa1c60bf3ef7532c16817d7989a06ef77d2d,uniswap-v4-bsc,LAB / USDT 0.48%,1471.022,64545.9365790135,2824,2544,546,594,-3,8
LAB,bsc,0x3b16587b91b165e1baa546f1451b126c7b795c6428f1253968653497c4566e28,uniswap-v4-bsc,LAB / USDT 0.255%,380.2172,147696.982092845,835,1124,231,244,2.04,9
LAB,bsc,0x2a07eeb47234e0a96f427264c61433b7af21b08a,uniswap-bsc,BSB / LAB 1%,1941.5755,7861.6242195678,1421,1401,488,482,27.82,10
LAB,bsc,0xfa5972e7aaddf06de3361e35ebd73ecf338a73d6457871c97d1812f9ce0ed99b,uniswap-v4-bsc,LAB / USDT 0.387%,205.8593,51789.4798869606,565,532,143,128,2.42,11
LAB,bsc,0x2f62969a74159bfc9365d8cd29ae8f6d15582204,pancakeswap-v3-bsc,LAB / USDT 0.01%,298573.8919,30.5683310419,173,157,98,78,16.81,12
LAB,bsc,0x3679fcb44596729a9bd52f4f3e6f735020a7a346,pancakeswap-v3-bsc,LAB / WBNB 1%,778.0771,5284.2208560429,1174,1079,414,397,22.2,13
LAB,bsc,0xd67e5e77c7dfecb7b1af3235e8f01499a362f87ff27b432e5f7c31a91fa4ca83,uniswap-v4-bsc,LAB / USDT 2.498%,519.9299,7490.7817284471,590,467,212,176,98.56,14
LAB,bsc,0x8973fa37951292753fcaae87dab8112642c46bb33a39090dcb48808cde7c5fcc,pancakeswap-infinity-clmm,LAB / BNB 0.336%,156.6266,16498.5054833208,1001,878,224,204,49.81,15
LAB,bsc,0x745a2ba5dd0a8fac2965e64bcdcaa05433e028df8dbead87b37cd3ba1d680a0b,uniswap-v4-bsc,LAB / USDT 0.452%,101.5464,22313.5174820494,114,174,54,64,-4.76,16
LAB,bsc,0x063e7bae87584bbd4b5e8de3f36c15073e792793bc19591d78c61413725f3255,uniswap-v4-bsc,LAB / USDT 0.325%,72.8116,20973.8583116552,125,98,44,57,0.8,17
LAB,bsc,0x0946ad99b5a5353494d758c31643175bfc895c4322a37c75c470efb341fc1708,uniswap-v4-bsc,LAB / USDT 0.223%,53.8856,23884.7729310335,65,66,37,49,1.52,18
LAB,bsc,0xe47e91366a8d02945118130d7644873870480214d5a695b8a47c6a24744351da,uniswap-v4-bsc,LAB / USDT 0.28%,74.8865,16642.1705254099,310,400,86,98,-1.04,19
LAB,bsc,0x3933e15857351374f86c413be2d6426b484f481a95da6da333f2572fea95b147,uniswap-v4-bsc,LAB / USDT 0.291%,2195.8115,254.4183220313,285,272,134,129,61,20
PEPE,eth,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,uniswap_v2,PEPE / WETH,28176791.7542,550638.992317841,122,125,83,96,2.39,1
PEPE,eth,0x11950d141ecb863f01007add7d1a342041227b58,uniswap_v3,PEPE / WETH 0.3%,2299703.7,28645.4063839495,80,56,33,43,2.8,2
PEPE,eth,0xa7bc6c09907fa2ded89f1c8d05374621cb1f88c5,uniswap_v3,PEPE / USDT 0.3%,51963.3668,177045.439560647,27,28,17,19,1.37,3
PEPE,eth,0xe42df52d7938631f6c6cb56aac2fafc1e00ea77b7517a02ee244bd7d86c061cd,uniswap-v4-ethereum,PEPE / ETH 1%,252468.8835,3957.0736591471,7,6,7,5,4.16,4
PEPE,eth,0xdb8c570ba8bedd80e7f6b34edffac10ceedee4a9,uniswap_v2,PEPE0.5 / PEPE,79367.499,189.7451577838,1,0,1,0,0,5
PEPE,eth,0x4d2985ed0e6f89fdfea66264f88241db024c75ec656d9b7314ccb759e27d11ca,uniswap-v4-ethereum,PEPE / ETH 0.3%,58681.6469,95.4164175463,9,6,7,6,1.73,6
PEPE,eth,0x3202acfd55232f3706aa81a4f18a98686b5e1d1b,pancakeswap-v3-ethereum,PEPE / WETH 1%,8790.2102,299.845269566,3,3,3,3,2.76,7
PEPE,eth,0x992c59d45dd67706d7aaa118beb331c203858417,uniswap_v3,PEPE / WBTC 0.3%,11463.8982,120.8025256571,4,4,4,4,1.96,8
PEPE,eth,0x248823df26180700e56f632dd7fa64a4d63f9db1,uniswap_v3,PEPE / SHIB 1%,7586.4832,176.3674913396,4,0,3,0,4.32,9
PEPE,eth,0xdb90e2723e998cf3072d1efbbcdaab4e24d8c640,cypher,PEPE / WETH 0.05%,1087.6235,215.5344631662,7,9,6,9,2.21,10
PEPE,eth,0x05b5dba037afa4bbafaca15bf9f6bfaaad183fe6,uniswap_v3,PEPE / USDS 0.01%,1726.9735,42.3259760623,3,2,3,2,2.98,11
PEPE,eth,0x8021917809cf9abf0789dfa88bc271ad58da5cc8,uniswap_v2,ARRKY / PEPE,65671.4925,1.0650315331,0,1,0,1,0,12
PEPE,eth,0x5577a7fa9f9e5a4d8188ec55dc48f593a95bff943fea1bda46e3b3aff8396ff6,uniswap-v4-ethereum,PEPE / USDC 0.3%,697.9813,84.7843469199,7,3,7,3,0.51,13
PEPE,eth,0x950fbb8b935402b78aa8e0020aaaa364c7c2eabf,uniswap_v3,PEPE / PROS 1%,3235.4745,9.6038296068,1,0,1,0,0,14
PEPE,eth,0x7d69a413a3f59753903d4729f8207d67f0f9f5ad6126a0a97fda32604e533d83,uniswap-v4-ethereum,PEPE / USDC 1%,1380.4146,18.4554910315,1,1,1,1,-1.1,15
PEPE,eth,0xcee31c846cbf003f4ceb5bbd234cba03c6e940c7,uniswap_v3,PEPE / USDC 1%,8104.0551,1.9294453856,1,0,1,0,0,16
PEPE,eth,0xf239009a101b6b930a527deaab6961b6e7dec8a6,uniswap_v3,PEPE / WETH 1%,42354.5938,0.2354490417,1,0,1,0,0,17
PEPE,eth,0xa7ce7a625fa08eeb06b10af41953fcf284b42554,uniswap_v2,PEPE / RONI,2119.4117,3.7283001771,0,2,0,1,0.97,18
PEPE,eth,0x694736a70d63241884e891fd0416b1ada7ff2bdb,supernova-cl,PEPE / WETH 0.3%,401.8493,9.5254662282,2,4,2,4,2.83,19
PEPE,eth,0x0cac93cfdaa3005ac781f00c1565b8df5f4dcedd,sushiswap-v3-ethereum,PEPE / PNKSTR 1%,876.964,3.6686975105,1,0,1,0,0,20
WIF,solana,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,raydium,$WIF / SOL,4934062.546,185121.424499629,2174,1975,1465,1478,3.37,1
WIF,solana,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,orca,$WIF / SOL,228021.3909,448274.408239468,3422,4430,610,1025,3.7,2
WIF,solana,8Ve9KtGNtLRxCQNAVfkHEP5GRZHjdj6BjB1RQFZewG6V,meteora,$WIF / SOL,103349.329,12212.7801252953,58,26,31,15,4.35,3
WIF,solana,72bP2Smt5arjGpia7qjMcQ87DT3C5S3P13yqZQxZddZ5,orca,ZEC / $WIF,12178.5027,1814.1311886382,407,421,45,41,4.08,4
