token,group,symbol,oi_rows,funding_rows,liquidation_rows,readiness,limitations
BSB,P0,BSB,62,10,0,COINGLASS_FEATURE_READY,
LAB,P0,LAB,90,90,0,COINGLASS_FEATURE_READY,
UB,P0,UB,90,90,0,COINGLASS_FEATURE_READY,
AI,P0,AI,90,90,0,COINGLASS_FEATURE_READY,
PEPE,CONTROL,PEPE,90,90,0,COINGLASS_FEATURE_READY,
WIF,CONTROL,WIF,90,90,0,COINGLASS_FEATURE_READY,
BONK,CONTROL,BONK,90,90,0,COINGLASS_FEATURE_READY,
FLOKI,CONTROL,FLOKI,90,90,0,COINGLASS_FEATURE_READY,
PENDLE,MOMENTUM,PENDLE,90,90,0,COINGLASS_FEATURE_READY,
ONDO,MOMENTUM,ONDO,90,90,0,COINGLASS_FEATURE_READY,
DOGE,CONTROL,DOGE,0,0,0,COINGLASS_SHORT_HISTORY,<14 OI rows
TAO,CONTROL,TAO,0,0,0,COINGLASS_SHORT_HISTORY,<14 OI rows
