variant_name,token,request_params,status,row_count,first_row_keys,parser_ready,limitations
v1_1d_no_exchange,PEPE,"interval=1d&limit=3",OK,0,"",false,""
v2_1d_exchange_list,PEPE,"interval=1d&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v3_4h_no_exchange,PEPE,"interval=4h&limit=3",OK,0,"",false,""
v4_4h_exchange_list,PEPE,"interval=4h&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v5_4h_exchangeList,PEPE,"interval=4h&limit=3&exchangeList=Binance,OKX,Bybit",OK,0,"",false,""
v6_4h_exchanges,PEPE,"interval=4h&limit=3&exchanges=Binance,OKX,Bybit",OK,0,"",false,""
v1_1d_no_exchange,BSB,"interval=1d&limit=3",OK,0,"",false,""
v2_1d_exchange_list,BSB,"interval=1d&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v3_4h_no_exchange,BSB,"interval=4h&limit=3",OK,0,"",false,""
v4_4h_exchange_list,BSB,"interval=4h&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v5_4h_exchangeList,BSB,"interval=4h&limit=3&exchangeList=Binance,OKX,Bybit",OK,0,"",false,""
v6_4h_exchanges,BSB,"interval=4h&limit=3&exchanges=Binance,OKX,Bybit",OK,0,"",false,""
v1_1d_no_exchange,LAB,"interval=1d&limit=3",OK,0,"",false,""
v2_1d_exchange_list,LAB,"interval=1d&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v3_4h_no_exchange,LAB,"interval=4h&limit=3",OK,0,"",false,""
v4_4h_exchange_list,LAB,"interval=4h&limit=3&exchange_list=Binance,OKX,Bybit",OK,3,"time; aggregated_long_liquidation_usd; aggregated_short_liquidation_usd",true,""
v5_4h_exchangeList,LAB,"interval=4h&limit=3&exchangeList=Binance,OKX,Bybit",OK,0,"",false,""
v6_4h_exchanges,LAB,"interval=4h&limit=3&exchanges=Binance,OKX,Bybit",OK,0,"",false,""
v1_1d_no_exchange,UB,"interval=1d&limit=3",OK,0,"",false,""
v2_1d_exchange_list,UB,"interval=1d&limit=3&exchange_list=Binance,OKX,Bybit",OK,0,"",false,""
v3_4h_no_exchange,UB,"interval=4h&limit=3",OK,0,"",false,""
v4_4h_exchange_list,UB,"interval=4h&limit=3&exchange_list=Binance,OKX,Bybit",OK,0,"",false,""
v5_4h_exchangeList,UB,"interval=4h&limit=3&exchangeList=Binance,OKX,Bybit",OK,0,"",false,""
v6_4h_exchanges,UB,"interval=4h&limit=3&exchanges=Binance,OKX,Bybit",OK,0,"",false,""
v1_1d_no_exchange,AI,"interval=1d&limit=3",OK,0,"",false,""
v2_1d_exchange_list,AI,"interval=1d&limit=3&exchange_list=Binance,OKX,Bybit",OK,0,"",false,""
v3_4h_no_exchange,AI,"interval=4h&limit=3",OK,0,"",false,""
v4_4h_exchange_list,AI,"interval=4h&limit=3&exchange_list=Binance,OKX,Bybit",OK,0,"",false,""
v5_4h_exchangeList,AI,"interval=4h&limit=3&exchangeList=Binance,OKX,Bybit",OK,0,"",false,""
v6_4h_exchanges,AI,"interval=4h&limit=3&exchanges=Binance,OKX,Bybit",OK,0,"",false,""
