endpoint,token,instId,status,rows,earliest,latest,granularity,usable
open-interest-history,BSB,BSB-USDT-SWAP,OK,32,2026-05-03,2026-04-02,5m-1h,true
open-interest-volume,BSB,BSB-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,BSB,BSB-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,BSB,BSB-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,BSB,BSB-USDT-SWAP,HTTP_404,0,,,,false
open-interest-history,LAB,LAB-USDT-SWAP,OK,90,2026-05-03,2026-02-03,5m-1h,true
open-interest-volume,LAB,LAB-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,LAB,LAB-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,LAB,LAB-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,LAB,LAB-USDT-SWAP,HTTP_404,0,,,,false
open-interest-history,PEPE,PEPE-USDT-SWAP,OK,90,2026-05-03,2026-02-03,5m-1h,true
open-interest-volume,PEPE,PEPE-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,PEPE,PEPE-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,PEPE,PEPE-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,PEPE,PEPE-USDT-SWAP,HTTP_404,0,,,,false
open-interest-history,WIF,WIF-USDT-SWAP,OK,90,2026-05-03,2026-02-03,5m-1h,true
open-interest-volume,WIF,WIF-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,WIF,WIF-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,WIF,WIF-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,WIF,WIF-USDT-SWAP,HTTP_404,0,,,,false
open-interest-history,BONK,BONK-USDT-SWAP,OK,90,2026-05-03,2026-02-02,5m-1h,true
open-interest-volume,BONK,BONK-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,BONK,BONK-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,BONK,BONK-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,BONK,BONK-USDT-SWAP,HTTP_404,0,,,,false
open-interest-history,FLOKI,FLOKI-USDT-SWAP,OK,90,2026-05-03,2026-02-03,5m-1h,true
open-interest-volume,FLOKI,FLOKI-USDT-SWAP,HTTP_400,0,,,,false
long-short-account-ratio,FLOKI,FLOKI-USDT-SWAP,HTTP_400,0,,,,false
taker-volume,FLOKI,FLOKI-USDT-SWAP,HTTP_404,0,,,,false
top-trader-long-short-account-ratio,FLOKI,FLOKI-USDT-SWAP,HTTP_404,0,,,,false
