event_type,idx,follow_through,reversal,favorable_move,adverse_move,path_vol
FUNDING_EXTREME_UP,2,false,false,0.0%,-3.3%,0.0450
FUNDING_EXTREME_UP,3,false,false,0.0%,-3.3%,0.0450
LIQUIDATION_EXPANSION,3,false,false,0.0%,-3.3%,0.0450
RISK_SCORE_UPGRADE,3,false,false,0.0%,-3.3%,0.0450
FUNDING_EXTREME_UP,4,true,false,0.0%,-10.9%,0.1142
LIQUIDATION_EXPANSION,4,true,false,0.0%,-10.9%,0.1142
FUNDING_EXTREME_UP,5,false,false,0.0%,-7.9%,0.1050
OI_ROLLOVER,5,false,false,0.0%,-7.9%,0.1050
LIQUIDATION_EXPANSION,5,false,false,0.0%,-7.9%,0.1050
PRICE_OI_BOTH_DOWN,5,false,false,0.0%,-7.9%,0.1050
FUNDING_EXTREME_UP,6,true,false,0.0%,-11.3%,0.1142
LIQUIDATION_EXPANSION,6,true,false,0.0%,-11.3%,0.1142
FUNDING_EXTREME_UP,7,false,false,0.0%,-3.7%,0.0450
OI_ROLLOVER,7,false,false,0.0%,-3.7%,0.0450
LIQUIDATION_EXPANSION,7,false,false,0.0%,-3.7%,0.0450
PRICE_OI_BOTH_DOWN,7,false,false,0.0%,-3.7%,0.0450
FUNDING_EXTREME_UP,8,true,false,0.0%,-6.5%,0.0570
LIQUIDATION_EXPANSION,8,true,false,0.0%,-6.5%,0.0570
FUNDING_EXTREME_UP,9,false,false,0.0%,-3.0%,0.0350
OI_ROLLOVER,9,false,false,0.0%,-3.0%,0.0350
LIQUIDATION_EXPANSION,9,false,false,0.0%,-3.0%,0.0350
PRICE_OI_BOTH_DOWN,9,false,false,0.0%,-3.0%,0.0350
RISK_SCORE_DOWNGRADE,9,false,false,0.0%,-3.0%,0.0350
FUNDING_COOLING,10,false,false,0.0%,-3.0%,0.0350
LIQUIDATION_EXPANSION,10,false,false,0.0%,-3.0%,0.0350
FUNDING_EXTREME_UP,11,false,false,0.0%,0.0%,0.0000
OI_ROLLOVER,11,false,false,0.0%,0.0%,0.0000
LIQUIDATION_EXPANSION,11,false,false,0.0%,0.0%,0.0000
PRICE_OI_BOTH_DOWN,11,false,false,0.0%,0.0%,0.0000
FUNDING_EXTREME_UP,12,false,false,0.9%,0.0%,0.0100
LIQUIDATION_EXPANSION,12,false,false,0.9%,0.0%,0.0100
FUNDING_COOLING,13,false,false,0.9%,0.0%,0.0100
OI_ACCELERATION,13,false,false,0.9%,0.0%,0.0100
LIQUIDATION_EXPANSION,13,false,false,0.9%,0.0%,0.0100
RISK_SCORE_UPGRADE,13,false,false,0.9%,0.0%,0.0100
FUNDING_EXTREME_UP,14,true,false,1.7%,0.0%,0.0141
LIQUIDATION_EXPANSION,14,true,false,1.7%,0.0%,0.0141
FUNDING_EXTREME_UP,15,false,false,0.9%,0.0%,0.0100
OI_ACCELERATION,15,false,false,0.9%,0.0%,0.0100
LIQUIDATION_EXPANSION,15,false,false,0.9%,0.0%,0.0100
SQUEEZE_REBOUND,15,false,false,0.9%,0.0%,0.0100
FUNDING_COOLING,16,true,false,1.7%,0.0%,0.0141
LIQUIDATION_EXPANSION,16,true,false,1.7%,0.0%,0.0141
FUNDING_EXTREME_UP,17,false,false,0.9%,0.0%,0.0100
LIQUIDATION_EXPANSION,17,false,false,0.9%,0.0%,0.0100
SQUEEZE_REBOUND,17,false,false,0.9%,0.0%,0.0100
FUNDING_COOLING,18,false,false,0.9%,0.0%,0.0112
LIQUIDATION_EXPANSION,18,false,false,0.9%,0.0%,0.0112
LIQUIDATION_EXPANSION,19,false,false,0.0%,-0.4%,0.0050
SQUEEZE_REBOUND,19,false,false,0.0%,-0.4%,0.0050
LIQUIDATION_EXPANSION,20,false,true,0.4%,-0.4%,0.0112
FUNDING_COOLING,21,false,false,0.9%,0.0%,0.0100
LIQUIDATION_RESET,21,false,false,0.9%,0.0%,0.0100
PRICE_OI_BOTH_DOWN,21,false,false,0.9%,0.0%,0.0100
RISK_SCORE_DOWNGRADE,21,false,false,0.9%,0.0%,0.0100
RISK_SCORE_DOWNGRADE,23,false,false,3.4%,0.0%,0.0400
OI_ACCELERATION,25,false,false,6.1%,0.0%,0.0765
OI_ACCELERATION,27,true,false,0.0%,-6.2%,0.0667
RISK_SCORE_UPGRADE,27,true,false,0.0%,-6.2%,0.0667
OI_ROLLOVER,29,false,false,0.0%,0.0%,0.0000
LIQUIDATION_EXPANSION,29,false,false,0.0%,0.0%,0.0000
PRICE_OI_BOTH_DOWN,29,false,false,0.0%,0.0%,0.0000
RISK_SCORE_DOWNGRADE,29,false,false,0.0%,0.0%,0.0000
