idx,timestamp,type,price,oi_m,oi_chg_m,fund_pct,liq_k,score,evidence,confidence
17,11:35:18,LIQUIDATION_EXPANSION,2.33,383.3,-3.9,15.23,2075,65,liq $2075K,HIGH
17,11:35:18,SQUEEZE_REBOUND,2.33,383.3,-3.9,15.23,2075,65,price +$0.02 liq $2075K,MEDIUM
18,11:39:16,FUNDING_COOLING,2.33,383.3,0.0,14.46,2097,60,funding 15.2→14.5%,MEDIUM
18,11:39:16,LIQUIDATION_EXPANSION,2.33,383.3,0.0,14.46,2097,60,liq $2097K,HIGH
19,11:50:16,LIQUIDATION_EXPANSION,2.35,384.6,1.3,14.46,2097,60,liq $2097K,HIGH
19,11:50:16,SQUEEZE_REBOUND,2.35,384.6,1.3,14.46,2097,60,price +$0.02 liq $2097K,MEDIUM
20,11:54:15,LIQUIDATION_EXPANSION,2.35,384.6,0.0,14.46,2097,60,liq $2097K,HIGH
21,12:05:16,FUNDING_COOLING,2.34,382.9,-1.7,8.94,24,35,funding 14.5→8.9%,HIGH
21,12:05:16,LIQUIDATION_RESET,2.34,382.9,-1.7,8.94,24,35,liq $2097→$24K,HIGH
21,12:05:16,PRICE_OI_BOTH_DOWN,2.34,382.9,-1.7,8.94,24,35,price 2.35→2.34 OI -$1.7M,HIGH
21,12:05:16,RISK_SCORE_DOWNGRADE,2.34,382.9,-1.7,8.94,24,35,60→35,HIGH
23,12:20:16,RISK_SCORE_DOWNGRADE,2.36,386.4,3.6,8.96,53,20,35→20,HIGH
25,12:35:17,OI_ACCELERATION,2.44,399.5,13.1,8.45,151,20,OI +$13.1M,HIGH
27,12:50:17,OI_ACCELERATION,2.59,412.3,12.8,8.45,151,30,OI +$12.8M,HIGH
27,12:50:17,RISK_SCORE_UPGRADE,2.59,412.3,12.8,8.45,151,30,20→30,HIGH
