token,date,sample_group,event_rel_day,metric_id,value
LAB,2026-03-05,P0,-49,PV_001,-0.07436687866486015
LAB,2026-03-05,P0,-49,PV_002,0.8662415472174374
LAB,2026-03-05,P0,-49,PV_003,0
LAB,2026-03-05,P0,-49,PV_004,0
LAB,2026-03-06,P0,-48,PV_001,0.0334103594535994
LAB,2026-03-06,P0,-48,PV_002,0.9605419134524883
LAB,2026-03-06,P0,-48,PV_003,0
LAB,2026-03-06,P0,-48,PV_004,0
LAB,2026-03-07,P0,-47,PV_001,-0.0462895063007573
LAB,2026-03-07,P0,-47,PV_002,0.7748826178427529
LAB,2026-03-07,P0,-47,PV_003,0
LAB,2026-03-07,P0,-47,PV_004,0
LAB,2026-03-08,P0,-46,PV_001,-0.09008747943262368
LAB,2026-03-08,P0,-46,PV_002,0.7224226024491366
LAB,2026-03-08,P0,-46,PV_003,0
LAB,2026-03-08,P0,-46,PV_004,0
LAB,2026-03-09,P0,-45,PV_001,-0.09411234676597907
LAB,2026-03-09,P0,-45,PV_002,0.7510444144218807
LAB,2026-03-09,P0,-45,PV_003,1
LAB,2026-03-09,P0,-45,PV_004,0
LAB,2026-03-10,P0,-44,PV_001,-0.15881927238073001
LAB,2026-03-10,P0,-44,PV_002,0.9232744563986097
LAB,2026-03-10,P0,-44,PV_003,1
LAB,2026-03-10,P0,-44,PV_004,0
LAB,2026-03-11,P0,-43,PV_001,-0.21532739109426052
LAB,2026-03-11,P0,-43,PV_002,0.7847966908923009
LAB,2026-03-11,P0,-43,PV_003,0
LAB,2026-03-11,P0,-43,PV_004,0
LAB,2026-03-12,P0,-42,PV_001,0.09376922479019872
LAB,2026-03-12,P0,-42,PV_002,0.593669002473256
LAB,2026-03-12,P0,-42,PV_003,0
LAB,2026-03-12,P0,-42,PV_004,0
LAB,2026-03-13,P0,-41,PV_001,0.036506407332178484
LAB,2026-03-13,P0,-41,PV_002,0.516967303742063
LAB,2026-03-13,P0,-41,PV_003,0
LAB,2026-03-13,P0,-41,PV_004,1
LAB,2026-03-14,P0,-40,PV_001,0.2619934693755772
LAB,2026-03-14,P0,-40,PV_002,0.7703526583845783
LAB,2026-03-14,P0,-40,PV_003,0
LAB,2026-03-14,P0,-40,PV_004,1
LAB,2026-03-15,P0,-39,PV_001,0.31152861012360056
LAB,2026-03-15,P0,-39,PV_002,1.0209202203692345
LAB,2026-03-15,P0,-39,PV_003,0
LAB,2026-03-15,P0,-39,PV_004,1
LAB,2026-03-16,P0,-38,PV_001,0.3488297522461029
LAB,2026-03-16,P0,-38,PV_002,1.2001663727897192
LAB,2026-03-16,P0,-38,PV_003,0
LAB,2026-03-16,P0,-38,PV_004,1
LAB,2026-03-17,P0,-37,PV_001,0.29768347482745555
LAB,2026-03-17,P0,-37,PV_002,0.9376727524937438
LAB,2026-03-17,P0,-37,PV_003,1
LAB,2026-03-17,P0,-37,PV_004,0
LAB,2026-03-18,P0,-36,PV_001,0.34462085473339765
LAB,2026-03-18,P0,-36,PV_002,0.9523568137855271
LAB,2026-03-18,P0,-36,PV_003,1
LAB,2026-03-18,P0,-36,PV_004,0
LAB,2026-03-19,P0,-35,PV_001,0.19787980257023075
LAB,2026-03-19,P0,-35,PV_002,0.8381486087092905
LAB,2026-03-19,P0,-35,PV_003,0
LAB,2026-03-19,P0,-35,PV_004,0
LAB,2026-03-20,P0,-34,PV_001,0.08797980089741028
LAB,2026-03-20,P0,-34,PV_002,0.6406317272400919
LAB,2026-03-20,P0,-34,PV_003,0
LAB,2026-03-20,P0,-34,PV_004,0
LAB,2026-03-21,P0,-33,PV_001,0.1247325795185979
LAB,2026-03-21,P0,-33,PV_002,0.5490820718415715
LAB,2026-03-21,P0,-33,PV_003,0
LAB,2026-03-21,P0,-33,PV_004,1
LAB,2026-03-22,P0,-32,PV_001,0.07296447250435358
LAB,2026-03-22,P0,-32,PV_002,0.5987983992402556
LAB,2026-03-22,P0,-32,PV_003,0
LAB,2026-03-22,P0,-32,PV_004,1
LAB,2026-03-23,P0,-31,PV_001,0.017736527142903413
LAB,2026-03-23,P0,-31,PV_002,0.4108020774327089
LAB,2026-03-23,P0,-31,PV_003,1
LAB,2026-03-23,P0,-31,PV_004,1
LAB,2026-03-24,P0,-30,PV_001,-0.021751003458542834
LAB,2026-03-24,P0,-30,PV_002,0.3019369702112997
LAB,2026-03-24,P0,-30,PV_003,0
LAB,2026-03-24,P0,-30,PV_004,0
LAB,2026-03-25,P0,-29,PV_001,-0.025626481682087976
LAB,2026-03-25,P0,-29,PV_002,0.22161948223256903
LAB,2026-03-25,P0,-29,PV_003,0
LAB,2026-03-25,P0,-29,PV_004,0
LAB,2026-03-26,P0,-28,PV_001,0.01718010452986996
LAB,2026-03-26,P0,-28,PV_002,0.1803673595342078
LAB,2026-03-26,P0,-28,PV_003,1
LAB,2026-03-26,P0,-28,PV_004,0
LAB,2026-03-27,P0,-27,PV_001,0.07966556611106018
LAB,2026-03-27,P0,-27,PV_002,0.22643136661705765
LAB,2026-03-27,P0,-27,PV_003,1
LAB,2026-03-27,P0,-27,PV_004,0
LAB,2026-03-28,P0,-26,PV_001,0.021791117958391254
LAB,2026-03-28,P0,-26,PV_002,0.12219020600649105
LAB,2026-03-28,P0,-26,PV_003,0
LAB,2026-03-28,P0,-26,PV_004,1
LAB,2026-03-29,P0,-25,PV_001,-0.004348691734532987
LAB,2026-03-29,P0,-25,PV_002,-0.32680991634114953
LAB,2026-03-29,P0,-25,PV_003,0
LAB,2026-03-29,P0,-25,PV_004,1
LAB,2026-03-30,P0,-24,PV_001,0.05997067762084
LAB,2026-03-30,P0,-24,PV_002,-0.48968437357484146
LAB,2026-03-30,P0,-24,PV_003,1
LAB,2026-03-30,P0,-24,PV_004,1
LAB,2026-03-31,P0,-23,PV_001,0.08377576716703407
LAB,2026-03-31,P0,-23,PV_002,-0.4687468240774526
LAB,2026-03-31,P0,-23,PV_003,1
LAB,2026-03-31,P0,-23,PV_004,0
LAB,2026-04-01,P0,-22,PV_001,0.05840767261460949
LAB,2026-04-01,P0,-22,PV_002,-0.4813095895287281
